Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Frequency Score,Subscription Score,Previous Purchases_N,Frequency Score_N,Review Rating_N,Loyalty Score V1,Loyalty Band,Promo Dependency Score,Promo Dependency Level,Customer Value Score,Value Tier,Customer Segment
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly,4.0,1,0.26530612244897955,0.75,0.2400000000000002,0.4541224489795919,Medium,1,High,742,Silver,Bargain Hunter
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly,4.0,1,0.02040816326530612,0.75,0.2400000000000002,0.3561632653061225,Medium,1,High,128,Bronze,Bargain Hunter
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly,5.0,1,0.44897959183673464,1.0,0.2400000000000002,0.627591836734694,High,1,High,1679,Gold,Bargain Hunter
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly,5.0,1,0.9795918367346937,1.0,0.40000000000000013,0.8718367346938776,Very High,1,High,4410,Platinum,VIP Loyalist
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually,1.0,1,0.6122448979591836,0.0,0.08000000000000007,0.2608979591836734,Low,1,High,1519,Gold,Bargain Hunter
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly,5.0,1,0.26530612244897955,1.0,0.15999999999999992,0.5381224489795919,High,1,High,280,Bronze,Bargain Hunter
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly,2.0,1,0.9795918367346937,0.25,0.28000000000000025,0.5478367346938776,High,1,High,4165,Platinum,VIP Loyalist
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly,5.0,1,0.36734693877551017,1.0,0.28000000000000025,0.6029387755102041,High,1,High,646,Silver,Bargain Hunter
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually,1.0,1,0.14285714285714285,0.0,0.040000000000000036,0.06514285714285714,Low,1,High,776,Silver,Bargain Hunter
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,2.0,1,0.061224489795918366,0.25,0.9199999999999999,0.30848979591836734,Low,1,High,124,Bronze,Bargain Hunter
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,,1,0.510204081632653,,0.6399999999999999,,,1,High,884,Silver,Bargain Hunter
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,4.0,1,0.18367346938775508,0.75,0.9600000000000002,0.5654693877551021,High,1,High,680,Silver,Bargain Hunter
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly,4.0,1,0.7346938775510203,0.75,0.8,0.7538775510204082,Very High,1,High,2664,Platinum,VIP Loyalist
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly,5.0,1,0.6122448979591836,1.0,0.8800000000000001,0.8208979591836735,Very High,1,High,1581,Gold,Bargain Hunter
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly,5.0,1,0.673469387755102,1.0,0.8800000000000001,0.8453877551020409,Very High,1,High,1802,Gold,Bargain Hunter
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly,3.0,1,0.14285714285714285,0.5,0.11999999999999988,0.28114285714285714,Low,1,High,648,Silver,Bargain Hunter
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly,,1,0.8775510204081631,,0.6399999999999999,,,1,High,1584,Gold,Bargain Hunter
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly,2.0,1,0.7142857142857142,0.25,0.8800000000000001,0.5617142857142857,High,1,High,1368,Gold,Bargain Hunter
